"","ID","ALIGN","CORRECT","TARGET","ROUND","freq1","freq2","rating","align_code","condition"
"200",135,"bunny","CORRECT","bunny","1",15,63,64,1,"C1"
"201",135,"glasses","CORRECT","spectacles","1",4,45,60,0,"C1"
"202",135,"brolly","CORRECT","brolly","1",12,45,63,1,"C1"
"203",135,"bathtub ","CORRECT","bathtub","1",5,25,67,0,"C1"
"204",135,"hen","CORRECT","hen","1",5,43,62,1,"C1"
"205",135,"nectarine ","CORRECT","nectarine","1",5,15,61,0,"C1"
"206",135,"coach","CORRECT","coach","1",0,30,60,1,"C1"
"207",135,"hat","CORRECT","hat","1",28,52,61,1,"C1"
"208",135,"inflatable ball","CORRECT","inflatable ball","1",1,26,65,1,"C1"
"209",135,"pen","CORRECT","biro","1",3,34,53,0,"C1"
"210",135,"pistol","CORRECT","pistol","1",0,48,64,1,"C1"
"211",135,"loo","CORRECT","loo","2",5,63,64,1,"C1"
"212",135,"picture","CORRECT","picture","2",22,43,56,1,"C1"
"213",135,"musical instrument ","CORRECT","musical instrument","2",0,18,55,0,"C1"
"214",135,"flower","CORRECT","flower","2",1,91,60,1,"C1"
"215",135,"pillow","CORRECT","pillow","2",12,72,53,1,"C1"
"216",135,"aeroplane ","CORRECT","aeroplane","2",20,45,68,0,"C1"
"217",135,"toad","CORRECT","toad","2",8,60,67,1,"C1"
"218",135,"mobile","CORRECT","mobile","2",13,48,64,1,"C1"
"219",135,"make up ","CORRECT","make up","2",0,33,56,0,"C1"
"220",135,"fridge","CORRECT","refrigerator","2",2,48,65,0,"C1"
"221",135,"rodent ","CORRECT","rodent","2",0,65,63,0,"C1"
"222",135,"memory stick ","CORRECT","memory stick","2",11,29,68,0,"C1"
"223",135,"silverware ","CORRECT","silverware","2",3,10,57,0,"C1"
"224",135,"bike","CORRECT","bicycle","2",10,67,68,0,"C1"
"225",136,"rowboat","CORRECT","rowboat","1",3,23,57,1,"C1"
"226",136,"fag","CORRECT","fag","1",10,53,60,1,"C1"
"227",136,"computer","CORRECT","computer","1",8,83,56,1,"C1"
"228",136,"bunny","CORRECT","bunny","1",15,63,64,1,"C1"
"229",136,"spectacles","CORRECT","spectacles","1",4,45,60,1,"C1"
"230",136,"brolly","CORRECT","brolly","1",12,45,63,1,"C1"
"231",136,"bathtub","CORRECT","bathtub","1",5,25,67,1,"C1"
"232",136,"hen","CORRECT","hen","1",5,43,62,1,"C1"
"233",136,"nectarine","CORRECT","nectarine","1",5,15,61,1,"C1"
"234",136,"coach","CORRECT","coach","1",0,30,60,1,"C1"
"235",136,"hat","CORRECT","hat","1",28,52,61,1,"C1"
"236",136,"inflatable ball","CORRECT","inflatable ball","1",1,26,65,1,"C1"
"237",136,"biro","CORRECT","biro","1",3,34,53,1,"C1"
"238",136,"pistol","CORRECT","pistol","1",0,48,64,1,"C1"
"239",136,"loo","CORRECT","loo","2",5,63,64,1,"C1"
"240",136,"picture","CORRECT","picture","2",22,43,56,1,"C1"
"241",136,"musical instrument","CORRECT","musical instrument","2",0,18,55,1,"C1"
"242",136,"flower","CORRECT","flower","2",1,91,60,1,"C1"
"243",136,"pillow","CORRECT","pillow","2",12,72,53,1,"C1"
"244",136,"aeroplane","CORRECT","aeroplane","2",20,45,68,1,"C1"
"245",136,"toad","CORRECT","toad","2",8,60,67,1,"C1"
"246",136,"mobile","CORRECT","mobile","2",13,48,64,1,"C1"
"247",136,"make up","CORRECT","make up","2",0,33,56,1,"C1"
"248",136,"refrigerator","CORRECT","refrigerator","2",2,48,65,1,"C1"
"249",136,"rodent","CORRECT","rodent","2",0,65,63,1,"C1"
"250",136,"memory stick","CORRECT","memory stick","2",11,29,68,1,"C1"
"251",136,"silverware","CORRECT","silverware","2",3,10,57,1,"C1"
"252",136,"bicycle","CORRECT","bicycle","2",10,67,68,1,"C1"
"253",137,"lifeboat","CORRECT","rowboat","1",3,23,57,0,"C1"
"254",137,"cigarette","CORRECT","fag","1",10,53,60,0,"C1"
"255",137,"laptop","CORRECT","computer","1",8,83,56,0,"C1"
"256",137,"rabbit","CORRECT","bunny","1",15,63,64,0,"C1"
"257",137,"glasses","CORRECT","spectacles","1",4,45,60,0,"C1"
"258",137,"umbrella","CORRECT","brolly","1",12,45,63,0,"C1"
"259",137,"bath","CORRECT","bathtub","1",5,25,67,0,"C1"
"260",137,"chicken","CORRECT","hen","1",5,43,62,0,"C1"
"261",137,"peach","CORRECT","nectarine","1",5,15,61,0,"C1"
"262",137,"bus","CORRECT","coach","1",0,30,60,0,"C1"
"263",137,"cap","CORRECT","hat","1",28,52,61,0,"C1"
"264",137,"beach ball","CORRECT","inflatable ball","1",1,26,65,0,"C1"
"265",137,"pen","CORRECT","biro","1",3,34,53,0,"C1"
"266",137,"revolver","CORRECT","pistol","1",0,48,64,0,"C1"
"267",137,"toilet","CORRECT","loo","2",5,63,64,0,"C1"
"268",137,"painting","CORRECT","picture","2",22,43,56,0,"C1"
"269",137,"accordion","CORRECT","musical instrument","2",0,18,55,0,"C1"
"270",137,"rose","CORRECT","flower","2",1,91,60,0,"C1"
"271",137,"cushion","CORRECT","pillow","2",12,72,53,0,"C1"
"272",137,"aeroplane","CORRECT","aeroplane","2",20,45,68,1,"C1"
"273",137,"frog","CORRECT","toad","2",8,60,67,0,"C1"
"274",137,"mobile","CORRECT","mobile","2",13,48,64,1,"C1"
"275",137,"lipstick","CORRECT","make up","2",0,33,56,0,"C1"
"276",137,"fridge","CORRECT","refrigerator","2",2,48,65,0,"C1"
"277",137,"mouse","CORRECT","rodent","2",0,65,63,0,"C1"
"278",137,"thumb drive","CORRECT","memory stick","2",11,29,68,0,"C1"
"279",137,"cutlery","CORRECT","silverware","2",3,10,57,0,"C1"
"280",137,"bike","CORRECT","bicycle","2",10,67,68,0,"C1"
"281",140,"rowboat","CORRECT","rowboat","1",3,23,57,1,"C1"
"282",140,"fag","CORRECT","fag","1",10,53,60,1,"C1"
"283",140,"computer","CORRECT","computer","1",8,83,56,1,"C1"
"284",140,"bunny","CORRECT","bunny","1",15,63,64,1,"C1"
"285",140,"glasses","CORRECT","spectacles","1",4,45,60,0,"C1"
"286",140,"umbrella","CORRECT","brolly","1",12,45,63,0,"C1"
